state,inst,prgm,dept,admin,geog_name,geog_dept,AA,ASc,BS,BA,MS,MA,PhD,Associates Degree in Geography/Geographic Sciences and another subject,Bachelors Degree in Geography/Geographic Sciences and another subject,Masters Degree in Geography and another subject,PhD Degree in Geography and another subject,disc,link
IA,University of Iowa,,Department of Geographical and Sustainability Sciences,College of Liberal Arts and Sciences,x,,,,x,x,,x,x,,,,,"Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Energy Environmental Studies GIS GIS Certificate Program Hazards Medical Geography Physical Geography/General Planning (Regional/Urban) Quantitative Methods Remote Sensing Water Resources",https://clas.uiowa.edu/geography/
KS,Kansas State University,,Department of Geography and Geospatial Sciences,College of Arts and Sciences ,x,,,,x,x,,x,x,,,,,"Biogeography Cartography Conservation, Land Use, Resource Management Cultural Geography Environmental Studies Geomorphology GIS GIS Certificate Program Medical Geography Physical Geography/General Political Ecology Remote Sensing Rural Geography Water Resources",https://www.k-state.edu/geography/academics/index.html
KS,University of Kansas,,Department of Geography and Atmospheric Science,School of Liberal Arts and Sciences,x,,,,x,x,x,x,x,,,,,,https://geog.ku.edu/
KY,University of Louisville,,Department of Geography and Geosciences,College of Arts and Sciences,x,,,,x,,x,,,,,,,"Agricultural Geography Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Environmental Studies Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Historical Geography Medical Geography Physical Geography/General Political Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",http://louisville.edu/geogeo/
KY,University of Kentucky,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,,x,x,,,,,Agricultural Geography Biogeography Cartography Climatology/Meteorology Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Remote Sensing Social Geography Urban Geography,https://geography.as.uky.edu/geography-research-clusters
LA,Louisiana State University,,Department of Geography and Anthropology,College of Humanities and Social Sciences,x,,,,x,x,x,,x,,,,,Applied Geography Cartography Climatology/Meteorology Cultural Ecology Cultural Geography Economic Development Economic Geography Environmental Studies Geographic Thought Geomorphology GIS GIS Certification Program Hazards Historical Geography Location Theory Medical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources,https://www.lsu.edu/ga/index.php
ME,University of Maine at Farmington,,Department of Geography and Environmental Planning,,x,,,,,x,,,,,,,,,https://www.umf.maine.edu/academics/programs/geography/
ME,University of Southern Maine,Geography Anthropology,Department of Geography-Anthropology,College of Management and Human Services,x,,,,,x,,,,,x,,,,https://usm.maine.edu/geography-anthropology/geography-anthropology-programs-2021-2022-catalog
MD,Salisbury University,,Department of Geography and Geosciences,Henson School of Science and Technology,x,,,,x,,,,,,,,,"Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Distance/Online Degree Program Economic Geography Environmental Studies Geomorphology GIS Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",https://www.salisbury.edu/academic-offices/science-and-technology/geography-and-geosciences/
MD,Towson University,,Department of Geography and Environmental Planning,College of Liberal Arts,x,,,,,,,,,,,,,Applied Geography Climatology/Meteorology Cultural Geography Economic Development Environmental Studies Gender Geomorphology GIS Hazards Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Recreation and Tourism Remote Sensing Urban Geography,https://www.towson.edu/cla/departments/geography/
MD,"University of Maryland, Baltimore County ",,Department of Geography and Environmental Systems,"College of Arts, Humanities, and Social Sciences",x,,,,x,x,x, ,x,,x,x,x,"Agricultural Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Environmental Studies Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Remote Sensing Social Geography Urban Geography Water Resources",https://ges.umbc.edu/
MD,Montgomery College,Applied Geography,,,,,,x,,,,,,,,,,,https://www.montgomerycollege.edu/academics/programs/applied-geography/index.html
MD,George Washington University,,Department of Geography,Columbian College of Arts and Sciences,x,x,,,,x,x,,,,,,,,https://geography.columbian.gwu.edu/
MA,Westfield State University,,"Department of Geography, Planning, and Sustainability","College of Arts, Humanities, and Social Sciences",x,,,,x,,,,,,x,,,Environmental Studies GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Political Ecology Quantitative Methods Recreation and Tourism Urban Geography,https://www.westfield.ma.edu/academics/degrees/geography-regional-planning-degree-part-time
MA,University of Massachusetts Amherst,,Department of Geosciences,College of Natural Sciences,,,,,x,x,x,,,,,,,Climatology/Meteorology Environmental Studies Geographic Education GIS Political Ecology,http://www.geo.umass.edu/
MA,Worcester State University,,"Department of Earth, Environment and Physics","School of Education, Health, and Natural Sciences",,,,,x,,,,,,,,,Climatology/Meteorology Cultural Geography Environmental Studies Geographic Education Geomorphology GIS Remote Sensing Urban Geography,https://www.worcester.edu/Earth-Environment-and-Physics/
MA,Clark University,,Graduate School of Geography,School of Arts and Sciences ,x,x,,,,x,,,x,,,,,"Agricultural Geography Applied Geography Biogeography Conservation, Land Use, Resource Management Cultural Ecology Economic Development Economic Geography Energy Environmental Studies Gender Geographic Thought GIS Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Regional Development Remote Sensing Urban Geography Water Resources",https://www.clarku.edu/departments/geography/
MA,Salem State University,,Department of Geography and Sustainability,College of Arts and Sciences,x,,,,x,x,,,,,x,,,"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Energy Environmental Studies GIS GIS Certification Program Physical Geography/General Planning (Regional/Urban) Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Transportation and Communication Urban Geography",https://www.salemstate.edu/academics/college-arts-and-sciences/geography-and-sustainability
MA,Bridgewater State University,,Department of Geography,Bartlett College of Science and Mathematics,x,x,,,x,x,,,,,,,,,https://www.bridgew.edu/department/geography
MI,Central Michigan University,,Department of Geography and Environmental Studies,College of Science and Engineering,x,,,,x,x,,,,,,,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Energy Environmental Studies Gender Geographic Education Geographic Thought Geomorphology GIS Historical Geography Location Theory Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Transportation and Communication Urban Geography Water Resources",https://www.cmich.edu/colleges/se/Geography/Undergraduate/Pages/default.aspx
MI,Saginaw Valley State University,,Department of Geography,College of Arts and Behavioral Sciences,x,x,,,,x,,,,,,,,"Agricultural Geography Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Environmental Studies Gender Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Historical Geography Location Theory Physical Geography/General Planning (Regional/Urban) Population Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",https://www.svsu.edu/geography/
MI,Eastern Michigan University,,Department of Geography and Geology,College of Arts and Sciences,x,,,,x,,,,,,,,,Applied Geography Cartography Climatology/Meteorology Cultural Geography Economic Geography Environmental Studies Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Historical Geography Planning (Regional/Urban) Recreation and Tourism Remote Sensing,https://www.emich.edu/geography-geology/programs/geography/index.php
MI,Michigan State University,,"Department of Geography, Environment, and Spatial Sciences",College of Social Science,x,,,,x,x,x,,x,,,,,Climatology/Meteorology Cultural Geography Economic Geography Geomorphology GIS GIS Certificate Program Medical Geography Physical Geography/General Remote Sensing Urban Geography,https://geo.msu.edu/index.html
MI,Grand Rapids Community College,,Department of Social Sciences,"Human Services, Education, and Social Sciences Academic Pathway", ,,x,,,,,,,,,,,,https://www.grcc.edu/programs/pregeography-aa-general-transfer
MI,Western Michigan University,,"Department of Geography, Environment, and Tourism",College of Arts and Sciences,x,,,,x,,x,,,,,,,"Agricultural Geography Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Geographic Education GIS GIS Certificate Program Hazards Historical Geography Location Theory Medical Geography Physical Geography/General Planning (Regional/Urban) Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Transportation and Communication Urban Geography Water Resources",https://wmich.edu/geography/academics/undergraduate
MI,Calvin University,,"Department of Geology, Geography, and Environmental Studies","Science, Technology, Engineering and Mathematics",x,,,,,x,,,,,,,,Cartography Cultural Geography Environmental Studies Geographic Thought GIS GIS Certificate Program Physical Geography/General Urban Geography,https://calvin.edu/academics/departments-programs/geo/academics/geography
MN,"Minnesota State University, Mankato",,Department of Geography,College of Social and Behavioral Sciences,x,x,,,x,x,x,,,,,,,"Applied Geography Cartography Conservation, Land Use, Resource Management Cultural Geography Economic Geography Geomorphology GIS GIS Certificate Program Hazards Historical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography",https://sbs.mnsu.edu/academics/geography
MN,Gustavus Adolphus College,,Department of Geography,,x,x,,,,x,,,,,,,,Agricultural Geography Climatology/Meteorology Energy Environmental Studies GIS Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Urban Geography Water Resources,https://gustavus.edu/geography/
MN,Macalester College,,Department of Geography,,x,x,,,,,,,,,,,,"Agricultural Geography Cartography Conservation, Land Use, Resource Management Economic Geography Environmental Studies GIS Hazards Medical Geography Political Ecology Political Geography Population Geography Quantitative Methods Remote Sensing Rural Geography Transportation and Communication Urban Geography",https://www.macalester.edu/geography/
MN,"University of Minnesota, Twin Cities",,"Department of Geography, Environment and Society",College of Liberal Arts,x,,,,x,x,,x,x,,,,,Biogeography Cartography Climatology/Meteorology Cultural Geography Economic Geography Environmental Studies Gender Geographic Thought GIS Medical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Recreation and Tourism Social Geography Transportation and Communication Urban Geography,https://cla.umn.edu/geography
MN,St. Cloud State University,,Department of Geography and Planning,School of Public Affairs,x,,,,x,x,,,,,,,,Biogeography Cartography Cultural Geography Economic Development Economic Geography Geomorphology GIS GIS Certificate Program Historical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Regional Development Recreation and Tourism Remote Sensing Social Geography,https://catalog.stcloudstate.edu/~/Catalog/ViewCatalog.aspx?pageid=viewcatalog&catalogid=7&topicgroupid=1675
MN,Itasca Community College,Geography and GIS, ,,,,x,,,,,,,,,,,,https://www.itascacc.edu/gis#programs
MS,University of Southern Mississippi,Geography,,"School of Biological, Environmental, and Earth Sciences",,,,,x,,x,,,,,,,,https://www.usm.edu/biological-environmental-earth-sciences/#our-programs-list
MO,Missouri State University,,"Department of Geography, Geology, and Planning",College of Natural and Applied Sciences,x,,,,x,x,,,,,,,,"Agricultural Geography Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Geography Environmental Studies Geomorphology GIS GIS Certificate Program Historical Geography Physical Geography/General Planning (Regional/Urban) Remote Sensing Rural Geography Urban Geography Water Resources",https://geosciences.missouristate.edu/Geography/
MO,"University of Missouri, Columbia",,Department of Geography,College of Arts and Science,x,x,,,,x,,x,,,,,,"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Environmental Studies Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Historical Geography Location Theory Physical Geography/General Planning (Regional/Urban) Political Ecology Population Geography Quantitative Methods Recreation and Tourism Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://geography.missouri.edu/
MO,Northwest Missouri State University,,Department of Humanities and Social Sciences,,,,,,x,x,,,,,,,,"Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Geography GIS GIS Certificate Program Hazards Physical Geography/General Political Geography Quantitative Methods Remote Sensing Urban Geography",http://www.nwmissouri.edu/socialsciences/programs/index.htm
MT,University of Montana,,Department of Geography,W.A. Franke College of Forestry and ConservationGeography,x,x,,,x,x,x,,,,,,,"Climatology/Meteorology Conservation, Land Use, Resource Management Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Location Theory Physical Geography/General Planning (Regional/Urban) Political Ecology Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Transportation and Communication Urban Geography Water Resources",https://www.cfc.umt.edu/geography/
NE,"University of Nebraska, Omaha",,Department of Geography and Geology,College of Arts and Sciences,x,,,,x,,x,,,,,,,"Agricultural Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Geography Environmental Studies Gender Geographic Education GIS GIS Certificate Program Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",https://www.unomaha.edu/college-of-arts-and-sciences/geography/index.php
NE,"University of Nebraska, Lincoln",,Department of Geography,"College of Arts and Sciences
",x,x,,,x,x,,x,x,,,,,"Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Energy Environmental Studies Gender Geomorphology GIS GIS Certificate Program Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Urban Geography Water Resources",https://www.unl.edu/gradstudies/department/geography
NV,"University of Nevada, Reno",,Department of Geography,College of Science,x,x,,,x,x,x,,x,,,,,"Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Energy Environmental Studies Gender Geographic Education GIS Hazards Historical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://www.unr.edu/geography/
NH,University of New Hampshire,,Department of Geography,College of Liberal Arts,x,x,,,,x,,,,,,,,Climatology/Meteorology  Economic Geography  Geomorphology  GIS  Hazards  Physical Geography/General  Political Ecology  Political Geography  Population Geography  Remote Sensing,https://cola.unh.edu/geography
NH,Plymouth State University,,Department of Social Science,,,,,,x,,,,,,x,,,Environmental Studies GIS GIS Certificate Program Recreation and Tourism,https://coursecatalog.plymouth.edu/undergraduate-courses/ge/
NH,Dartmouth College,,Department of Geography,,x,x,,,,x,,,,,,,,"Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Gender GIS Medical Geography Physical Geography/General Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Rural Geography Social Geography Urban Geography Water Resources",https://geography.dartmouth.edu/
NJ,Rutgers University,,Department of Geography,School of Arts and Sciences,x,x,,,,x,x,x,x,,,,,"Agricultural Geography Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Environmental Studies Gender Geomorphology GIS GIS Certificate Program Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Remote Sensing Urban Geography Water Resources",https://geography.rutgers.edu/
NJ,Rowan University,,"Department of Geography, Planning and Sustainability",School of Earth and Environment,x,,,,,x,,,,,,,,"Conservation, Land Use, Resource Management Cultural Geography Environmental Studies Geographic Education GIS GIS Certificate Program Planning (Regional/Urban) Remote Sensing Transportation and Communication Urban Geography Water Resources",https://earth.rowan.edu/departments/geography/academics/geog.html
NM,New Mexico State University,,Department of Geography,College of Arts and Sciences,x,x,,,x,,,x,x,,,,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Geographic Thought Geomorphology GIS Physical Geography/General Remote Sensing Social Geography Urban Geography Water Resources",https://geography.nmsu.edu/masters-program/MAG%20Degree%20Requirements.html
NM,University of New Mexico,,Department of Geography and Environmental Studies,College of Arts and Sciences,x,,,,x,x,x,,x,,,,,"Conservation, Land Use, Resource Management Environmental Studies GIS Political Ecology Quantitative Methods Remote Sensing Water Resources",https://geographyphdnmsu.unm.edu/
NY ,"State University of New York, Buffalo State",,Department of Geography and Planning,School of Arts and Sciences,x,,,,x,x,,,,,,,,"Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Development Economic Geography Environmental Studies Geomorphology GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Quantitative Methods Regional Development Remote Sensing Urban Geography Water Resources",https://geography.buffalostate.edu/programs
NY,"University at Buffalo, State University of New York",,Department of Geography,College of Arts and Sciences,x,x,,,,x,,x,x,,,,,Biogeography Cartography Climatology/Meteorology Economic Development Economic Geography Geomorphology GIS GIS Certificate Program Medical Geography Physical Geography/General Quantitative Methods Regional Development Remote Sensing Urban Geography Water Resources,https://www.buffalo.edu/cas/geography.html
NY,"Monroe Community College, State University of New York",,Department of Chemistry and Geosciences,,,,,x,,,,,,,,,,Distance/Online Degree Program GIS GIS Certificate Program,https://www.monroecc.edu/depts/geography/
NY,"State University of New York, College at Geneseo",,Department of Geography,,x,x,,,,x,,,,,,,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Environmental Studies Geographic Thought GIS Historical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Regional Development Social Geography Urban Geography",https://www.geneseo.edu/geography
NY,Syracuse University,,Department of Geography and the Environment,Maxwell School of Citizenship and Public Affairs,x,,,,,x,,x,x,,,,,Applied Geography Biogeography Cartography Climatology/Meteorology Cultural Geography Economic Development Economic Geography Energy Environmental Studies Gender Geomorphology GIS GIS Certificate Program Hazards Historical Geography Physical Geography/General Political Ecology Political Geography Quantitative Methods Remote Sensing Urban Geography Water Resources,https://www.maxwell.syr.edu/geography-and-the-environment/
NY,Colgate University,,Department of Geography,Division of Social Sciences,x,x,,,,x,,,,,,,,Applied Geography Cartography Economic Geography Environmental Studies Geographic Education Geographic Thought GIS Hazards Medical Geography Population Geography Quantitative Methods Remote Sensing Rural Geography Social Geography Urban Geography,https://www.colgate.edu/academics/departments-programs/department-geography
NY,"University at Albany, State University of New York",,Department of Geography and Planning,College of Arts and Sciences,x,,,,,x,,x,,,,,,"Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Environmental Studies Geographic Education Geographic Thought GIS GIS Certificate Program Hazards Historical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Regional Development Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://www.albany.edu/geographyplanning
NY,"Binghamton University, State University of New York",,Department of Geography,Harpur College of Arts and Sciences,x,x,,,,x,,x,,,,,,"Applied Geography Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Development GIS GIS Certificate Program Hazards Medical Geography Planning (Regional/Urban) Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",https://www.binghamton.edu/geography/
NY,United States Military Academy,,Department of Geography and Environmental Engineering,,x,,,,x,,,,,,,,,Applied Geography Cartography GIS GIS Certificate Program Physical Geography/General Remote Sensing Water Resources,https://www.westpoint.edu/academics/academic-departments/geography-and-environmental-engineering
NY,"Lehman College, City University of New York",,"Department of Earth, Environmental and Geospatial Sciences",School of Natural and Social Sciences,,,,,,x,,,,,,,,"Applied Geography Biogeography Cartography Conservation, Land Use, Resource Management Geomorphology GIS GIS Certificate Program Hazards Historical Geography Medical Geography Planning (Regional/Urban) Population Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",http://lehman.smartcatalogiq.com/2019-2021/Undergraduate-Bulletin/Academic-Departments-and-Programs/Earth-Environmental-and-Geospatial-Sciences/Geography-B-A-28-Credit-Major
NY,"Hunter College, CUNY",,Department of Geography and Environmental Science,School of Arts and Sciences,x,,,,,x,,x,,,,,,Cartography Cultural Geography Environmental Studies Geographic Education GIS GIS Certificate Program Physical Geography/General Population Geography Quantitative Methods Remote Sensing Social Geography Urban Geography,http://www.geo.hunter.cuny.edu/
NY,"College of Staten Island, CUNY",,Department of Political Science and Global Affairs,Division of Humanities and Social Sciences,,,,,,x,,,,,,,,,https://csicuny.smartcatalogiq.com/en/Current/Undergraduate-Catalog/Divisions-Schools-Departments-and-Programs/Division-of-Humanities-and-Social-Sciences/Department-of-Political-Science-and-Global-Affairs/Geography/Geography-BA
NY,Hofstra University,,Department of Global Studies and Geography,Hofstra College of Liberal Arts and Sciences, x,,,,,x,,,,,,,,Cartography Cultural Geography Economic Geography GIS Medical Geography Political Geography Population Geography Transportation and Communication Urban Geography,https://www.hofstra.edu/global-studies-geography/geography-major-ba.html
NC,East Carolina University,,"Department of Geography, Planning and Environment",Thomas Harriot College of Arts and Sciences,x,,,,x,,x,,,,,,,Applied Geography Cultural Geography Geomorphology GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Remote Sensing,https://geography.ecu.edu/home/degree-programs/
NC,North Carolina Central University,,"Department of Environmental, Earth and Geospatial Sciences",College of Health and Sciences,,,,,x,,,,,,x,,,,https://www.nccu.edu/chs/environmental-earth-and-geospatial-sciences#undergraduate-programs
NC,University of North Carolina at Chapel Hill,,Department of Geography,College of Arts and Sciences,x,x,,,,x,,x,x,,,,,"Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Medical Geography Physical Geography/General Political Ecology Political Geography Population Geography Quantitative Methods Remote Sensing Social Geography Urban Geography",https://geography.unc.edu/
NC,University of North Carolina at Greensboro,,"Department of Geography, Environment, and Sustainability",College of Arts and Sciences,x,,,,x,x,,x,x,,,,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Distance/Online Degree Program Economic Geography Energy Environmental Studies Geomorphology GIS GIS Certificate Program Planning (Regional/Urban) Political Geography Quantitative Methods Recreation and Tourism Remote Sensing Transportation and Communication Urban Geography Water Resources",https://ges.uncg.edu/
NC,Appalachian State University,,Department of Geography and Planning,College of Arts and Sciences,x,,,,x,x,,x,,,,,,,https://geo.appstate.edu/
NC,University of North Carolina at Charlotte,,Department of Geography and Earth Sciences,College of Liberal Arts and Sciences,x,,,,x,x,,x,x,,,,,Applied Geography Climatology/Meteorology Economic Geography Environmental Studies Geomorphology GIS Certificate Program Medical Geography Physical Geography/General Planning (Regional/Urban) Quantitative Methods Urban Geography Water Resources,https://geoearth.uncc.edu/undergraduate-programs/geography
ND,University of North Dakota,,Department of Geography and Geographic Information Science,College of Arts and Sciences,x,,,,x,,,x,,,,,,"Applied Geography Biogeography Conservation, Land Use, Resource Management Economic Geography Environmental Studies Geographic Education Geomorphology GIS GIS Certificate Program Historical Geography Physical Geography/General Planning (Regional/Urban) Remote Sensing Water Resources",https://arts-sciences.und.edu/academics/geography/
OH,Kent State University,,Department of Geography,College of Arts and Sciences,x,x,,,,x,,x,x,,,,,"Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Environmental Studies Geographic Thought GIS Hazards Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Remote Sensing Urban Geography",https://www.kent.edu/geography
OH,Ohio University,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,x,,,,,,"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Historical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Regional Development Social Geography Urban Geography",https://www.ohio.edu/cas/geography/graduate/masters-ms
OH,Ohio State University,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,,x,x,,,,,"Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Economic Development Economic Geography Energy Environmental Studies Gender Geographic Thought GIS GIS Certificate Program Medical Geography Physical Geography/General Political Ecology Political Geography Population Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography",https://geography.osu.edu/
OH,Ohio Wesleyan University,,Department of Environment and Sustainability,,,,,,,x,,,,,,,,Cartography Climatology/Meteorology Cultural Geography Economic Geography Energy Environmental Studies GIS Hazards Physical Geography/General Urban Geography,https://www.owu.edu/academics/departments-programs/department-of-environment-sustainability/geography-major/
OH,Sinclair College,Geography,,"Division of Liberal Arts, Communication and Social Sciences",,,x,,,,,,,,,,,,https://www.sinclair.edu/academics/divisions/lcs/geo/
OH,Miami University of Ohio,,Department of Geography,College of Arts and Science,x,x,,,,x,,x,,,,,,"Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",http://www.miamioh.edu/cas/academics/departments/geography/academics/
OH,University of Cincinnati,,Department of Geography and GIS,College of Arts and Sciences,x,,,,x,x,,x,x,,,,,"Biogeography Conservation, Land Use, Resource Management Cultural Ecology Economic Development Economic Geography Environmental Studies Geomorphology GIS GIS Certificate Program Location Theory Medical Geography Physical Geography/General Quantitative Methods Regional Development Remote Sensing Transportation and Communication Urban Geography Water Resources",https://www.artsci.uc.edu/departments/geography/about-the-department.html
OH,Owens Community College,,Department of Social and Behavioral Sciences,School of Liberal Arts,,,x,,,,,,,,,,,Cultural Geography GIS Physical Geography/General,https://www.owens.edu/academics/program/geography-concentration.html
OH,University of Toledo,,Department of Geography and Planning,College of Arts and Letters,x,,,,,x,,x,x,,,,,"Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Environmental Studies Gender Geographic Education Geographic Thought GIS GIS Certificate Program Hazards Historical Geography Location Theory Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Regional Development Remote Sensing Transportation and Communication Urban Geography Water Resources",https://www.utoledo.edu/Programs/undergrad/Geography-and-Planning
OK,Northeastern State University,,Department of Geography and Political Science,College of Liberal Arts,x,,,,,x,,,,,,,,"Biogeography, Climatology/Meteorology, Cultural Ecology, Cultural Geography, Distance/Online Degree Program, Environmental Studies, GIS, GIS Certificate Program, Hazards, Physical Geography (General), Political Ecology, Urban Geography, Water Resources",https://academics.nsuok.edu/Geography/default.aspx
OK,Oklahoma State University,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,,x,,,,,"Agricultural Geography Biogeography Cartography Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Development Environmental Studies GIS GIS Certificate Program Historical Geography Political Ecology Political Geography Quantitative Methods Remote Sensing Transportation and Communication",https://geog.okstate.edu/
OK,University of Central Oklahoma,,Department of History and Geography,College of Liberal Arts,x,,,,,x,,,,,,,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Energy Environmental Studies Gender Geomorphology GIS Certificate Program Historical Geography Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Recreation and Tourism Remote Sensing Transportation and Communication Urban Geography Water Resources",https://www.uco.edu/cla/departments/history-geography/degree-programs
OK,University of Oklahoma,,Department of Geography and Enviromental Sustainability,College of Atmospheric and Geographic Sciences,x,,,,x,x,x,,x,,,x,x,Applied Geography Biogeography Climatology/Meteorology Distance/Online Degree Program Economic Geography Energy Environmental Studies Geographic Education Geographic Thought GIS Certificate Program Political Geography Quantitative Methods Remote Sensing Urban Geography Water Resources,https://www.ou.edu/ags/geography/degree-programs
